NOM,PRENOM,TAILLE,ATTAQUANT,MILIEU,DEFENSEUR,GARDIEN,NATIONALITE,CLUB,PHYSIQUE,VITESSE,PASSE,TIR,DRIBBLE,DEFENSE,IMAGE
Mbappe,Kylian,178,1,1,0,0,FR,PSG,78,97,80,90,92,36,2
Kevin,De Bruyne,181,1,1,0,0,BEL,MCI,78,72,94,88,87,65,6
Faneva,Ima,175,0,1,1,0,MDG,BAR,70,80,91,87,60,55,3
Vinicius,Junior,176,1,1,0,0,BRE,RMA,68,95,78,82,90,29,5
Bellingham,Jude,186,1,1,0,0,ANG,RMA,82,76,79,75,85,78,3
Becker,Alisson,193,0,0,0,1,BRE,LIV,80,70,70,80,65,80,6
Kimpembe,Presnel,183,0,1,1,0,FR,PSG,86,79,68,43,69,81,2
Haaland,Erling,194,1,0,0,0,NOR,MCI,88,89,66,93,80,45,4
Joao,Felix,181,1,1,0,0,POR,BAR,67,81,78,79,85,40,1
Courtois,Thibaut,200,0,0,0,1,BEL,RMA,90,85,76,89,93,46,2
Daniel,Carvajal,173,0,0,1,0,ESP,RMA,79,82,76,54,79,77,6
Alaba,David,180,0,1,1,0,ESP,RMA,77,79,83,71,80,85,4
Tchouameni,Aurelien,187,0,1,0,0,FR,RMA,81,73,79,69,78,81,2
Varane,Raphael,191,0,0,1,0,FR,MUN,78,79,64,49,67,86,5
Casimiro,Henrique,185,0,1,0,0,BRE,MUN,88,63,79,75,73,89,4
Rashford,Marcus,185,1,1,0,0,ANG,MUN,74,90,78,86,84,42,2
Marquinhos,Marcos,183,0,1,1,0,BRE,PSG,80,78,75,56,74,89,6
